TestName,ChannelName
1,Zee Telugu
2,ZEE 24 Taas
3,Zee Bangla
4,Zee Bangla Cinema
5,Zee Anmol
6,Zee Business
7,Zee Cafe HD
8,Zee Kalinga
9,Zee Kannada
10,Zee Marathi
11,Zee MPCG
12,Zee Bihar Jharkhand
13,Zee Rajasthan News
14,Zee Salaam
15,And Flix
16,Zee Talkies
17,Zee Tamil
18,Zee TV HD
19,Zing India
20,AND TV HD
21,Divya TV
22,DD Podhigai
23,DD Chandana
24,DD Yadagiri
25,DD Malayalam
26,DD Bangla
27,DD Sahyadri
28,And Pictures HD
29,Zee Hindustan
30,Zee 24 Ghanta
31,Zee News
32,Pratidin 
33,Zee Cinema
34,Zee TV
35,And Pictures
36,Discovery Telugu
37,EUROSPORT
38,Discovery Turbo English
39,Animal Planet Hindi
40,Animal Planet HD World
41,D Tamil
42,Discovery Science English
43,Investigation Discovery
44,Animal Planet English
45,TLC HD World
46,Discovery Science Hindi
47,Discovery Kids Tamil
48,Discovery Kids Hindi
49,Discovery Hindi
50,TLC Hindi
51,TLC English
52,Discovery Bangla
53,Discovery English
54,Discovery HD World
55,NTV
56,NDTV 24x7
57,Dhoom Music
58,NDTV INDIA
59,NDTV GoodTimes
60,ABP News
61,Manorama News
62,Samay Aalami
63,Samay Rajasthan
64,Samay UP
65,HMTV
66,Russia Today
67,News Time Bangla
68,Samay
69,T News
70,Vanitha TV
71,Sakshi TV
72,SVBC
73,Bhakti TV
74,Rupashi Bangla
75,Mazhavil Manorama
76,Kaumudy TV
77,Sirippoli TV
78,Kalaignar TV
79,Samay MP
80,Samay Bihar
81,10TV
82,Murasu
83,Public TV
84,Sri Sankara Kannada
85,Sri Sankara Tamil
86,Seithigal TV
87,Shalom TV
88,V6 News
89,iNews
90,Aradana TV
91,Sangeet Bangla
92,Sudarshan News
93,NDTV Profit
94,OM CVR
95,CVR English News
96,News7 Tamil
97,ABP Majha
98,Kerala Vision
99,ABP Ananda
100,Goodness TV
101,Sanskar TV
102,Aastha TV
103,DW
104,Angel TV
105,Captain TV
106,Arihant
107,Aastha Bhajan
108,Desi TV
109,Puthiya Thalaimurai
110,Mathrubhumi News
111,ManaTV Telangana
112,Yupp Telugu Premium Movies
113,VendharTV
114,Janam TV
115,PuthuyugamTV
116,PolimerTV
117,Music India
118,HamdardTV
119,SafariTV
120,Yupp Telugu Comedy Movies
121,Yupp Telugu Classics
122,Yupp Bengali Movies
123,Yupp Hindi Classics
124,Yupp Hindi Premium Movies
125,Yupp Malayalam Movies
126,Yupp Marathi Classics
127,Yupp Marathi Premium Movies
128,Yupp Tamil Classics
129,Polimer News
130,Sangeet Marathi
131,Sangeet Bhojpuri
132,Isai Aruvi
133,DD India
134,DD Urdu
135,DD Punjabi
136,DD Uttar Pradesh
137,DD Bihar
138,DD Rajasthan
139,DD Madhya Pradesh
140,DD Bharati
141,Zee Yuva
142,Zee Action
143,Zee Anmol Cinema
144,DD Kisan
145,WION
146,Zee Cinemalu
147,Hindu Dharmam
148,Aaj Tak
149,9x Jhakaas
150,MediaOne TV
151,9XM
152,9X Jalwa
153,And Prive HD
154,Jaihind TV
155,Jaya Max
156,Jeevan TV
157,God TV
158,Jaya Plus
159,Reporter TV
160,We TV
161,Vasanth TV
162,J-Movies
163,Hare Krishna TV
164,India TV
165,Zee 24 Kalak
166,9X Tashan
167,Kairali TV
168,Jaya TV
169,TV5 Kannada
170,Flowers TV
171,DD National
172,News Nation
173,Lok Sabha Television
174,Shraddha
175,Kasturi Tv
176,Aakaash Bangla
177,nexG Movies
178,VTV
179,Makkal TV
180,DD Marathi
181,Disha TV
182,Republic TV
183,DD SPORTS
184,Ishwar TV
185,Captain News
186,Janta TV
187,TV5 Monde Asie
188,Fateh TV
189,Lakshya Tv
190,Channel Win
191,MK Television
192,TV 100
